iter	Passed	Remaining
0	37	37232
1	72	35984
2	113	37660
3	154	38515
4	195	38840
5	233	38708
6	269	38184
7	305	37912
8	343	37778
9	376	37281
10	411	37015
11	447	36836
12	482	36594
13	515	36330
14	551	36237
15	586	36094
16	627	36263
17	661	36106
18	695	35927
19	729	35766
20	764	35634
21	799	35532
22	837	35555
23	872	35480
24	907	35409
25	943	35342
26	978	35255
27	1012	35153
28	1049	35134
29	1084	35078
30	1127	35250
31	1199	36274
32	1239	36325
33	1278	36312
34	1315	36267
35	1352	36221
36	1390	36199
37	1435	36343
38	1477	36418
39	1516	36404
40	1554	36351
41	1592	36318
42	1632	36338
43	1668	36257
44	1707	36229
45	1740	36095
46	1774	35972
47	1812	35953
48	1851	35927
49	1888	35879
50	1926	35855
51	1963	35802
52	1999	35722
53	2034	35637
54	2069	35557
55	2103	35453
56	2141	35432
57	2175	35333
58	2214	35323
59	2251	35266
60	2288	35223
61	2323	35159
62	2359	35087
63	2395	35030
64	2436	35053
65	2477	35059
66	2512	34992
67	2550	34954
68	2588	34919
69	2629	34934
70	2665	34872
71	2701	34823
72	2741	34811
73	2775	34732
74	2812	34681
75	2854	34703
76	2894	34697
77	2932	34662
78	2969	34620
79	3007	34590
80	3050	34613
81	3089	34582
82	3125	34534
83	3166	34524
84	3207	34526
85	3248	34523
86	3286	34485
87	3323	34447
88	3361	34405
89	3401	34392
90	3439	34359
91	3475	34300
92	3513	34265
93	3551	34230
94	3592	34221
95	3637	34249
96	3677	34237
97	3719	34231
98	3757	34200
99	3799	34191
100	3842	34203
101	3889	34239
102	3934	34261
103	3979	34287
104	4029	34345
105	4088	34479
106	4145	34593
107	4195	34654
108	4253	34765
109	4306	34845
110	4357	34902
111	4408	34953
112	4461	35022
113	4506	35020
114	4550	35016
115	4587	34960
116	4632	34958
117	4674	34939
118	4713	34893
119	4754	34867
120	4795	34838
121	4836	34808
122	4879	34792
123	4925	34798
124	4965	34761
125	5008	34742
126	5046	34691
127	5092	34690
128	5135	34672
129	5175	34638
130	5220	34629
131	5266	34630
132	5312	34629
133	5354	34605
134	5403	34620
135	5449	34623
136	5491	34594
137	5535	34575
138	5578	34552
139	5626	34561
140	5665	34516
141	5704	34466
142	5740	34404
143	5781	34368
